title,plays
Pablo Llonto sobre la muerte de Ernestina Herrera de Noble en Volver a las 17 ,57
"Santiago O'DONNELL: ""Queda clarísimo que todo lo que contó Macri sobre los Panamá Papers es mentira""",57
 Román Lejtman trata de hacerlo entrar en razón al dirigente de Patria Grande  Itai Hagman ,57
 Julia Mengolini entrevista a Daniela Salvarese - Segurola y Habana,57
,57
"Nueva incorporación a La Pulpo, Santiago Rubinzal",57
"""Si algo sobran son los boludos""",56
"Políticos de mierda, váyanse a la reconcha de la lora",56
Juan Pablo Varsky analizando el empate de Argentina vs Venezuela por eliminatorias 06/09/17,56
Editorial de apertura de Carlos Polimeni - Radio del Plata,56
Diego Aguirre habló de su relación con Marcelo Tinelli,56
"Juan Salinas | ""Todo está sucediendo como Del Grosso temía y Pájaro Rojo advirtió""",56
,55
,55
"Iván Carrino con Ari Paluch, hablando sobre Historia Secreta de Argentina",55
Editorial de Ernesto Tenembaun acerca de las prisiones preventivas a ex funcionarios kirchneristas. ,55
Denuncian corrupción Tornquist en LA BRÚJULA 24 FM 93.1,55
"Tabárez habló del calificativo ""tierno"" que había usado Sonsol para Valverde",55
"Lavagna: “Esto no termina bien, hay que pensar como cambiar el rumbo”",55
,55
[TE QUIERO- AM750] Héctor Recalde,55
Editorial de apertura de Cynthia Ottaviano - Radio del Plata,54
Mariano Hamilton sobre las pensiones cuenta la experiencia con su hijo ,54
"Sistema educativo, Tierra Plana, espiritualidad y otros temas interesantes",54
Guillermo Moreno - Siempre Es Hoy - Radio del Plata,53
 Pato Celeste con Julio Rios. Avance,53
El Directorio de Caminos de las Sierras desmiente declaraciones del Intendente Daniel Salibi ,53
Despidos políticos en la Maternidad Estela de Carlotto: La Dra Rosemberg en el móvil de Víctor Hugo,53
,53
"El animal de Fantino, hay gente que se cortan los dedos para hacer juicio. Feimann no se queda atras",53
Luis Ventura,53
El maltrato de un conductor radial  a una menor hasta hacerla llorar en el aire de Radio Nacional,52
Editorial de Roberto Caballero - Caballero De Día- Radio del Plata,52
Dalbón cruzó a Duggan por su defensa a la Gendarmería tras la desaparición de Maldonado,52
#BlackAndToc 15/06/2017 - Programa -,52
Sergio Wischñevsky - Siempre Es Hoy - Radio del Plata,52
,52
Entrevista completa CFK con VHM,52
Oriana se va del aire,52
Entrevista a Julio Velasco,52
Diego Capusotto en Detras de lo que vemos en AM 750,52
La Mami enojada 2,52
#BlackAndToc 14/06/2017 - Ingrid Beck @soyingridbeck Guía para varones en situación de #NiUnaMenos -,52
Carlos Bilardo contra el mate,52
"Entrevista a Jimena Martinez Allende directora de Le Villi, ópera de Puccini ",51
"#BlackAndToc 05/06/2017 - Foristologo Fernando Balmayor @cobayotirabomba Hoy ""Antorcha"" Maradona -",51
Guillermo Moreno - Siempre Es Hoy - Radio del Plata,51
"Nelso Farina #FATUN //""Es peligroso que el presidente tenga esa visión sobre la Universidad Pública""",51
"Leandro Macias: ""Decir que las PyMES cierran por los laboralistas es una locura""",51
Así sale el agua del grifo en la zona sur de Córdoba #HabitantesEnPeligro ,51
"Gustavo López: ""¿Cuál es el límite de la crueldad de este modelo de ajuste?""",51
CRISTINA Y LA NEGRA,51
#FederalA - Gustavo Sastre (@DeportivMadryn) @interiorfut @guemes1050,51
Gabriel Carabajal - Caballero de día - Radio Del Plata,51
GRAN DA PARA DARSE EN PERROS DE LA CALLE,50
".@JuanGrabois: ""Hubo un incendio en Villa Caraza, murieron 4 niñas, y para los medios no es tema""",50
"Martín Kalos - Pensiones por discapacidad - en Maldita Suerte, por FM La Patriada",50
El consejo de Novaresio Úrsula Vargues tras su comentario sobre los judíos,50
Elena Dalbo de Asoaciación Azul sobre la baja de pensiones,50
Si el presidente llora? q queda para el resto de los argentinos q han perdido tanto?,50
Daniel Schteingart habla sobre políticas de desarrollo y modelo industrial en Argentina,50
,50
Litio: Historia de un saqueo.,50
"Carolina Stanley , Ministra de Desarrollo Social",50
Yanina Latorre ,49
Nicolás Del Caño - La Tarde de Del Plata - Radio del Plata,49
Manuela Castañeira - Volver a las Fuentes - Radio del Plata,49
Radio Metro: Impecable resumen del capitulo Santiago Maldonado vs Patricia Bullrich en el Congreso ,49
"Jorge Taiana sobre el apoyo del Chino Navarro a Randazzo: ""Me parece apresurada la decisión""",49
Editorial de apertura de Carlos Polimeni - Radio del Plata,49
Jorge Halperin - El Mediodia de del Plata - Radio del Plata,48
Tomás Rincón en EXCLUSIVA para Conexión Goleadora,48
Llegamos a fin de año y llego el Arte... ,48
,48
"Mauricio Polchi, la 'fuerza de choque' de Víctor Hugo. Imperdible. ",48
"Héctor Recalde: ""Hoy presentamos una denuncia penal contra Arribas. Es un problema para el Gobierno""",48
"Abal Medina: ""Me parece muy injusto que me llamen traidor""",48
Aníbal Fernández se cruzó con Tenenbaum,48
Jorge Asis le sigue marcando la cancha a Animales Sueltos - Macri no puede aparecer en el conurbano,48
Jorge Mussetta - Caballero de día - Radio Del Plata,48
